timestamp,open,high,low,close,volume
2004-03-31,18.1300,19.3500,15.7400,18.4300,145908900
2004-02-27,17.3000,19.0200,16.7600,17.7300,60548100
2004-01-30,16.4800,19.5090,16.2500,17.4100,85204900
2003-12-31,15.0500,16.4500,14.7500,16.4200,44071800
2003-11-28,16.0000,16.4800,14.7200,14.9900,47258700
2003-10-31,15.1400,16.7200,14.7900,16.0000,65884000
2003-09-30,14.8500,16.2000,14.5300,15.1000,61546100
2003-08-29,14.3800,14.9900,13.5500,14.7700,44165500
2003-07-31,14.4000,15.7000,14.1200,14.1200,69241900
2003-06-30,13.6000,15.1000,13.1300,14.4000,58606200
2003-05-30,11.5000,13.5900,11.3500,13.5600,79134800
2003-04-30,11.7800,12.7100,10.2200,11.5100,97339100
2003-03-31,12.8000,12.9300,11.0600,11.7500,81429400
2003-02-28,12.1600,13.3200,11.7000,12.7000,76465900
2003-01-31,14.6800,16.7600,11.1300,12.1400,111751300
2002-12-31,14.4600,15.4000,13.5300,14.4800,71787500
2002-11-29,12.2000,14.6000,11.9900,14.5800,74662900
2002-10-31,9.3000,13.0300,7.9600,12.4200,107398300
2002-09-30,11.3000,11.3800,8.4000,9.1200,93615900
2002-08-30,9.5000,13.1500,8.9000,11.6000,94627800
2002-07-31,10.5000,12.8100,6.6500,9.3500,192396900
2002-06-28,16.4500,16.7900,8.8000,10.6100,135859300
2002-05-31,15.9000,17.5300,14.7800,16.4500,79034900
2002-04-30,15.1800,16.9800,13.3000,15.8500,95540700
2002-03-28,14.6000,16.3000,14.2800,15.2900,77478300
2002-02-28,17.8000,17.8000,12.5100,14.0900,197767100
2002-01-31,20.3000,20.4700,16.8000,17.7000,89464700
2001-12-31,22.0500,22.0500,18.5000,20.0800,76768200
2001-11-30,19.9500,22.5000,19.6200,21.7900,57331300
2001-10-31,23.8000,24.3900,18.8000,20.0000,113478600
2001-09-28,23.7400,24.1500,19.5000,24.0100,62039100
2001-08-31,23.8000,24.6000,21.2100,23.3400,53619800
2001-07-31,21.6000,23.6600,20.9100,23.3400,63414300
2001-06-29,20.9000,21.5200,19.4100,21.3600,107931100
2001-05-31,21.3500,23.5100,19.0600,20.3100,124772100
2001-04-30,22.2000,23.8700,20.2000,21.3800,85993500
2001-03-30,21.8500,23.1900,20.3400,21.9900,95686000
2001-02-28,24.8000,25.5700,20.5000,22.3600,80733500
2001-01-31,20.5000,29.3100,20.4400,24.8000,93357000
2000-12-29,23.6200,25.8100,19.6200,20.3100,90737300
2000-11-30,24.5000,26.7500,21.0000,23.0000,97311500
2000-10-31,29.5600,29.5600,21.8800,25.5000,107724200
2000-09-29,33.5000,34.0600,24.3100,29.3100,106909200
2000-08-31,35.8800,38.4400,30.2500,33.5200,103253700
2000-07-31,53.5000,54.8100,34.5000,35.6200,98247800
2000-06-30,60.5000,67.0000,50.9800,51.0000,80963600
2000-05-31,61.5000,64.8100,53.0600,60.5000,54415900
2000-04-28,63.2500,64.6200,55.8100,61.5000,46796100
2000-03-31,60.9400,64.9400,55.1200,63.0000,67702600
2000-02-29,63.5600,66.2500,57.1900,61.0000,43763200
